Poz.,Kraj,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,Razem,Ile drużyn
1,Anglia,22.642,18.571,24.357,21.000,16.428,102.998,4 LM. 2 LE. 1 LKE
2,Hiszpania,19.571,18.928,19.500,18.428,12.142,88.569,4 LM. 2 LE. 1 LKE
3,Niemcy,15.214,18.714,15.214,16.214,13.625,78.981,4 LM. 2 LE. 1 LKE
4,Włochy,12.642,14.928,16.285,15.714,11.928,71.497,4 LM. 2 LE. 1 LKE
5,Francja,10.583,11.666,7.916,18.416,10.916,59.497,3 LM. 2 LE. 1 LKE
6,Holandia,8.600,9.400,9.200,19.200,10.100,56.500,3 LM. 1 LE. 2 LKE
7,Portugalia,10.900,10.300,9.600,12.916,10.000,53.716,2 LM. 1 LE. 2 LKE
8,Belgia,7.800,7.600,6.000,6.600,10.400,38.400,2 LM. 1 LE. 2 LKE
9,Szkocja,6.750,9.750,8.500,7.900,3.500,36.400,2 LM. 1 LE. 2 LKE
10,Austria,6.200,5.800,6.700,10.400,4.500,33.600,2 LM. 1 LE. 2 LKE
11,Serbia,6.000,6.000,5.500,9.500,4.875,31.875,2 LM. 1 LE. 2 LKE
12,Turcja,5.500,5.000,3.100,6.700,10.600,30.900,2 LM. 1 LE. 2 LKE
13,Szwajcaria,3.900,6.400,5.125,7.750,6.000,29.175,2 LM. 1 LE. 2 LKE
14,Czechy,6.500,2.500,6.600,6.700,6.750,29.050,2 LM. 1 LE. 2 LKE
15,Norwegia,5.375,3.750,6.500,7.625,5.500,28.750,2 LM. 1 LE. 2 LKE
16,Ukraina,5.600,7.200,6.800,4.200,4.700,28.500,1 LM. 3 LKE
17,Dania,4.875,5.125,4.125,7.800,5.700,27.625,1 LM. 3 LKE
18,Rosja,7.583,4.666,4.333,5.300,4.333,26.215,1 LM. 3 LKE
19,Chorwacja,5.750,4.375,5.900,6.000,3.375,25.400,1 LM. 3 LKE
20,Grecja,5.100,4.900,5.100,8.000,2.125,25.225,1 LM. 3 LKE
21,Izrael,2.625,2.375,7.000,6.750,6.250,25.000,1 LM. 3 LKE
22,Cypr,6.125,5.125,4.000,4.125,4.500,23.875,1 LM. 3 LKE
23,Szwecja,4.125,5.750,2.500,5.125,6.250,23.750,1 LM. 3 LKE
24,Węgry,3.250,4.500,4.250,2.750,5.625,20.375,1 LM. 3 LKE
25,Rumunia,2.375,5.875,3.750,2.250,6.000,20.250,1 LM. 3 LKE
26,Bułgaria,4.000,4.125,4.000,3.375,4.000,19.500,1 LM. 3 LKE
27,Słowacja,5.125,3.000,1.500,4.125,5.500,19.250,1 LM. 3 LKE
28,Polska,2.250,2.125,4.000,4.625,5.500,18.500,1 LM. 3 LKE
29,Azerbejdżan,2.375,3.375,2.500,4.375,3.500,16.125,1 LM. 3 LKE
30,Kazachstan,4.250,3.375,1.000,2.875,1.125,12.625,1 LM. 3 LKE
31,Słowenia,3.125,2.000,2.250,3.000,2.125,12.500,1 LM. 3 LKE
32,Mołdawia,1.125,0.750,1.375,5.250,3.250,11.750,1 LM. 3 LKE
33,Kosowo,2.500,1.500,1.833,2.333,2.875,11.041,1 LM. 3 LKE
34,Liechtenstein,1.500,2.500,0.500,0.000,6.500,11.000,1 LKE (puchar)
35,Łotwa,1.625,2.250,1.375,2.625,2.750,10.625,1 LM. 3 LKE
36,Irlandia,1.000,1.250,1.875,2.875,3.375,10.375,1 LM. 3 LKE
37,Finlandia,0.875,1.625,1.375,3.750,2.625,10.250,1 LM. 3 LKE
38,Litwa,2.625,1.625,1.625,1.750,2.375,10.000,1 LM. 3 LKE
39,Armenia,1.500,2.750,1.375,1.875,2.375,9.875,1 LM. 3 LKE
40,Białoruś,5.000,2.500,1.500,0.250,0.625,9.875,1 LM. 3 LKE
41,Bośnia i Hercegowina,2.000,1.500,2.625,1.625,2.000,9.750,1 LM. 3 LKE
42,Luksemburg,2.625,3.000,1.000,1.250,1.125,9.000,1 LM. 3 LKE
43,Wyspy Owcze,1.125,1.125,2.750,1.500,2.250,8.750,1 LM. 3 LKE
44,Irlandia Północna,0.500,2.375,2.833,1.625,1.250,8.583,1 LM. 3 LKE
45,Malta,1.500,0.750,1.500,1.875,2.625,8.250,1 LM. 3 LKE
46,Gruzja,1.625,2.250,1.750,1.250,1.125,8.000,1 LM. 3 LKE
47,Estonia,0.500,0.875,1.375,3.666,1.166,7.582,1 LM. 3 LKE
48,Islandia,1.500,0.625,0.625,1.500,3.000,7.250,1 LM. 3 LKE
49,Albania,1.000,0.750,2.000,1.625,0.875,6.250,1 LM. 3 LKE
50,Walia,1.000,1.000,1.500,1.500,1.166,6.166,1 LM. 3 LKE
51,Gibraltar,1.000,1.000,1.666,1.250,0.875,5.791,1 LM. 2 LKE
52,Macedonia Północna,1.000,0.500,1.750,0.625,1.625,5.500,1 LM. 2 LKE
53,Andora,0.833,1.500,0.666,1.500,0.666,5.165,1 LM. 2 LKE
54,Czarnogóra,0.375,1.000,1.625,0.750,1.000,4.750,1 LM. 2 LKE
55,San Marino,0.500,0.000,0.500,0.166,0.833,1.999,1 LM. 2 LKE
